.....sss..............                                                   [100%]
19 passed, 3 skipped in 4.94s
lines   cov%   module   (path)
   46   100%   pydantic._migration   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/_migration.py)
   28   100%   pydantic.aliases   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/aliases.py)
   19   100%   pydantic.annotated_handlers   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/annotated_handlers.py)
  217   100%   pydantic.color   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/color.py)
  125   100%   pydantic.config   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/config.py)
   51   100%   pydantic.errors   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/errors.py)
  698   100%   pydantic.fields   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/fields.py)
  129   100%   pydantic.functional_validators   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/functional_validators.py)
  235   100%   pydantic.json_schema   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/json_schema.py)
  377   100%   pydantic.main   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/main.py)
  281   100%   pydantic.networks   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/networks.py)
   51   100%   pydantic.plugin.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/plugin/__init__.py)
   24   100%   pydantic.plugin._loader   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/plugin/_loader.py)
   27   100%   pydantic.plugin._schema_validator   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/plugin/_schema_validator.py)
  123   100%   pydantic.type_adapter   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/type_adapter.py)
  458   100%   pydantic.types   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/types.py)
   16   100%   pydantic.version   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/version.py)
   42   100%   pydantic.warnings   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/warnings.py)
   59   100%   pydantic_core.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic_core/__init__.py)
 1491   100%   pydantic_core.core_schema   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic_core/core_schema.py)
    5   100%   pytest.__main__   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pytest/__main__.py)
   54   100%   queue   (/root/.pyenv/versions/3.10.19/lib/python3.10/queue.py)
   14   100%   random   (/root/.pyenv/versions/3.10.19/lib/python3.10/random.py)
   18   100%   re   (/root/.pyenv/versions/3.10.19/lib/python3.10/re.py)
   18   100%   shutil   (/root/.pyenv/versions/3.10.19/lib/python3.10/shutil.py)
   79   100%   socket   (/root/.pyenv/versions/3.10.19/lib/python3.10/socket.py)
  332   100%   sre_compile   (/root/.pyenv/versions/3.10.19/lib/python3.10/sre_compile.py)
   11   100%   sre_constants   (/root/.pyenv/versions/3.10.19/lib/python3.10/sre_constants.py)
  400   100%   sre_parse   (/root/.pyenv/versions/3.10.19/lib/python3.10/sre_parse.py)
  358   100%   ssl   (/root/.pyenv/versions/3.10.19/lib/python3.10/ssl.py)
    1   100%   starlette.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/starlette/__init__.py)
    4   100%   starlette._compat   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/starlette/_compat.py)
   12   100%   starlette._exception_handler   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/starlette/_exception_handler.py)
   35   100%   starlette._utils   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/starlette/_utils.py)
   52   100%   starlette.applications   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/starlette/applications.py)
   15   100%   starlette.background   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/starlette/background.py)
   16   100%   starlette.concurrency   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/starlette/concurrency.py)
   36   100%   starlette.convertors   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/starlette/convertors.py)
  148   100%   starlette.datastructures   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/starlette/datastructures.py)
   20   100%   starlette.exceptions   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/starlette/exceptions.py)
   50   100%   starlette.formparsers   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/starlette/formparsers.py)
   14   100%   starlette.middleware.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/starlette/middleware/__init__.py)
   26   100%   starlette.middleware.base   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/starlette/middleware/base.py)
   29   100%   starlette.middleware.errors   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/starlette/middleware/errors.py)
   16   100%   starlette.middleware.exceptions   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/starlette/middleware/exceptions.py)
   70   100%   starlette.requests   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/starlette/requests.py)
   92   100%   starlette.responses   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/starlette/responses.py)
  126   100%   starlette.routing   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/starlette/routing.py)
   92   100%   starlette.status   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/starlette/status.py)
   29   100%   starlette.testclient   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/starlette/testclient.py)
   14   100%   starlette.types   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/starlette/types.py)
   36   100%   starlette.websockets   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/starlette/websockets.py)
  192   100%   stringprep   (/root/.pyenv/versions/3.10.19/lib/python3.10/stringprep.py)
   79   100%   sysconfig   (/root/.pyenv/versions/3.10.19/lib/python3.10/sysconfig.py)
   73   100%   tempfile   (/root/.pyenv/versions/3.10.19/lib/python3.10/tempfile.py)
   62   100%   test_config   (/workspace/scripts/apps/backend/tests/test_config.py)
   16   100%   test_e2e   (/workspace/scripts/apps/backend/tests/test_e2e.py)
  128   100%   test_services   (/workspace/scripts/apps/backend/tests/test_services.py)
   12   100%   textwrap   (/root/.pyenv/versions/3.10.19/lib/python3.10/textwrap.py)
    2   100%   threading   (/root/.pyenv/versions/3.10.19/lib/python3.10/threading.py)
   21   100%   traceback   (/root/.pyenv/versions/3.10.19/lib/python3.10/traceback.py)
   36   100%   types   (/root/.pyenv/versions/3.10.19/lib/python3.10/types.py)
  463   100%   typing   (/root/.pyenv/versions/3.10.19/lib/python3.10/typing.py)
  252   100%   typing_extensions   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/typing_extensions.py)
  109   100%   typing_inspection.introspection   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/typing_inspection/introspection.py)
  161   100%   typing_inspection.typing_objects   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/typing_inspection/typing_objects.py)
    2   100%   unittest.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/unittest/__init__.py)
  167   100%   unittest.case   (/root/.pyenv/versions/3.10.19/lib/python3.10/unittest/case.py)
   15   100%   unittest.loader   (/root/.pyenv/versions/3.10.19/lib/python3.10/unittest/loader.py)
    1   100%   unittest.util   (/root/.pyenv/versions/3.10.19/lib/python3.10/unittest/util.py)
   25   100%   urllib.error   (/root/.pyenv/versions/3.10.19/lib/python3.10/urllib/error.py)
   80   100%   urllib.parse   (/root/.pyenv/versions/3.10.19/lib/python3.10/urllib/parse.py)
  504   100%   urllib.request   (/root/.pyenv/versions/3.10.19/lib/python3.10/urllib/request.py)
   24   100%   urllib.response   (/root/.pyenv/versions/3.10.19/lib/python3.10/urllib/response.py)
   40   100%   warnings   (/root/.pyenv/versions/3.10.19/lib/python3.10/warnings.py)
   20   100%   weakref   (/root/.pyenv/versions/3.10.19/lib/python3.10/weakref.py)
    2   100%   xml.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/xml/__init__.py)
   28   100%   xml.etree.ElementPath   (/root/.pyenv/versions/3.10.19/lib/python3.10/xml/etree/ElementPath.py)
  192   100%   xml.etree.ElementTree   (/root/.pyenv/versions/3.10.19/lib/python3.10/xml/etree/ElementTree.py)
    1   100%   xml.etree.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/xml/etree/__init__.py)
   35   100%   zipfile   (/root/.pyenv/versions/3.10.19/lib/python3.10/zipfile.py)
   10   100%   zoneinfo.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/zoneinfo/__init__.py)
   10   100%   zoneinfo._common   (/root/.pyenv/versions/3.10.19/lib/python3.10/zoneinfo/_common.py)
   26   100%   zoneinfo._tzpath   (/root/.pyenv/versions/3.10.19/lib/python3.10/zoneinfo/_tzpath.py)
