.....sss..............                                                   [100%]
19 passed, 3 skipped in 4.94s
lines   cov%   module   (path)
   76   100%   _pytest.warnings   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/warnings.py)
  711   100%   _sysconfigdata__linux_x86_64-linux-gnu   (/root/.pyenv/versions/3.10.19/lib/python3.10/_sysconfigdata__linux_x86_64-linux-gnu.py)
    8   100%   _weakrefset   (/root/.pyenv/versions/3.10.19/lib/python3.10/_weakrefset.py)
   19   100%   abc   (/root/.pyenv/versions/3.10.19/lib/python3.10/abc.py)
  137   100%   annotated_types.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/annotated_types/__init__.py)
   88   100%   anyio.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/__init__.py)
  438   100%   anyio._backends._asyncio   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_backends/_asyncio.py)
   18   100%   anyio._backends._trio   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_backends/_trio.py)
   30   100%   anyio._core._contextmanagers   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_contextmanagers.py)
   55   100%   anyio._core._eventloop   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_eventloop.py)
   40   100%   anyio._core._exceptions   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_exceptions.py)
  192   100%   anyio._core._fileio   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_fileio.py)
    4   100%   anyio._core._resources   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_resources.py)
    6   100%   anyio._core._signals   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_signals.py)
  130   100%   anyio._core._sockets   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_sockets.py)
   11   100%   anyio._core._streams   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_streams.py)
   43   100%   anyio._core._subprocesses   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_subprocesses.py)
  175   100%   anyio._core._synchronization   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_synchronization.py)
   35   100%   anyio._core._tasks   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_tasks.py)
  187   100%   anyio._core._tempfile   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_tempfile.py)
   15   100%   anyio._core._testing   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_testing.py)
   26   100%   anyio._core._typedattr   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_typedattr.py)
   45   100%   anyio.abc.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/abc/__init__.py)
  169   100%   anyio.abc._eventloop   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/abc/_eventloop.py)
   12   100%   anyio.abc._resources   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/abc/_resources.py)
   79   100%   anyio.abc._sockets   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/abc/_sockets.py)
   75   100%   anyio.abc._streams   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/abc/_streams.py)
   30   100%   anyio.abc._subprocesses   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/abc/_subprocesses.py)
   33   100%   anyio.abc._tasks   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/abc/_tasks.py)
   17   100%   anyio.abc._testing   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/abc/_testing.py)
   86   100%   anyio.from_thread   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/from_thread.py)
   48   100%   anyio.lowlevel   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/lowlevel.py)
   63   100%   anyio.pytest_plugin   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/pytest_plugin.py)
   65   100%   anyio.streams.memory   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/streams/memory.py)
   40   100%   anyio.streams.stapled   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/streams/stapled.py)
   80   100%   anyio.streams.tls   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/streams/tls.py)
   17   100%   anyio.to_thread   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/to_thread.py)
   56   100%   app.core.config   (/workspace/scripts/apps/backend/app/core/config.py)
   56   100%   app.services.ai_assistant   (/workspace/scripts/apps/backend/app/services/ai_assistant.py)
   12   100%   app.services.ai_guardrails   (/workspace/scripts/apps/backend/app/services/ai_guardrails.py)
   31   100%   app.services.audit   (/workspace/scripts/apps/backend/app/services/audit.py)
   36   100%   app.services.auth   (/workspace/scripts/apps/backend/app/services/auth.py)
   30   100%   app.services.dashboard   (/workspace/scripts/apps/backend/app/services/dashboard.py)
   80   100%   app.services.google_ads   (/workspace/scripts/apps/backend/app/services/google_ads.py)
   46   100%   app.services.insights   (/workspace/scripts/apps/backend/app/services/insights.py)
   76   100%   app.services.meta_ads   (/workspace/scripts/apps/backend/app/services/meta_ads.py)
   20   100%   app.services.notifications   (/workspace/scripts/apps/backend/app/services/notifications.py)
   12   100%   app.services.rbac   (/workspace/scripts/apps/backend/app/services/rbac.py)
   74   100%   app.services.rules_engine   (/workspace/scripts/apps/backend/app/services/rules_engine.py)
  445   100%   argparse   (/root/.pyenv/versions/3.10.19/lib/python3.10/argparse.py)
   33   100%   asyncio.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/__init__.py)
  198   100%   asyncio.base_events   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/base_events.py)
   11   100%   asyncio.base_futures   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/base_futures.py)
   41   100%   asyncio.base_subprocess   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/base_subprocess.py)
    7   100%   asyncio.base_tasks   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/base_tasks.py)
   10   100%   asyncio.constants   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/constants.py)
   45   100%   asyncio.coroutines   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/coroutines.py)
  179   100%   asyncio.events   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/events.py)
   18   100%   asyncio.exceptions   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/exceptions.py)
   11   100%   asyncio.format_helpers   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/format_helpers.py)
   61   100%   asyncio.futures   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/futures.py)
   45   100%   asyncio.locks   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/locks.py)
    3   100%   asyncio.log   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/log.py)
    9   100%   asyncio.mixins   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/mixins.py)
   32   100%   asyncio.protocols   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/protocols.py)
   44   100%   asyncio.queues   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/queues.py)
    6   100%   asyncio.runners   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/runners.py)
  119   100%   asyncio.selector_events   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/selector_events.py)
   75   100%   asyncio.sslproto   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/sslproto.py)
   16   100%   asyncio.staggered   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/staggered.py)
   79   100%   asyncio.streams   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/streams.py)
   38   100%   asyncio.subprocess   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/subprocess.py)
   83   100%   asyncio.tasks   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/tasks.py)
    6   100%   asyncio.threads   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/threads.py)
   54   100%   asyncio.transports   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/transports.py)
   52   100%   asyncio.trsock   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/trsock.py)
  176   100%   asyncio.unix_events   (/root/.pyenv/versions/3.10.19/lib/python3.10/asyncio/unix_events.py)
   14   100%   base64   (/root/.pyenv/versions/3.10.19/lib/python3.10/base64.py)
   36   100%   cmd   (/root/.pyenv/versions/3.10.19/lib/python3.10/cmd.py)
   22   100%   code   (/root/.pyenv/versions/3.10.19/lib/python3.10/code.py)
   23   100%   codecs   (/root/.pyenv/versions/3.10.19/lib/python3.10/codecs.py)
   20   100%   codeop   (/root/.pyenv/versions/3.10.19/lib/python3.10/codeop.py)
   81   100%   collections.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/collections/__init__.py)
   12   100%   colorsys   (/root/.pyenv/versions/3.10.19/lib/python3.10/colorsys.py)
    1   100%   concurrent.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/concurrent/__init__.py)
    6   100%   concurrent.futures.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/concurrent/futures/__init__.py)
  102   100%   concurrent.futures._base   (/root/.pyenv/versions/3.10.19/lib/python3.10/concurrent/futures/_base.py)
   67   100%   contextlib   (/root/.pyenv/versions/3.10.19/lib/python3.10/contextlib.py)
    2   100%   contextvars   (/root/.pyenv/versions/3.10.19/lib/python3.10/contextvars.py)
   43   100%   copy   (/root/.pyenv/versions/3.10.19/lib/python3.10/copy.py)
   17   100%   copyreg   (/root/.pyenv/versions/3.10.19/lib/python3.10/copyreg.py)
  325   100%   dataclasses   (/root/.pyenv/versions/3.10.19/lib/python3.10/dataclasses.py)
   41   100%   email.feedparser   (/root/.pyenv/versions/3.10.19/lib/python3.10/email/feedparser.py)
   19   100%   email.parser   (/root/.pyenv/versions/3.10.19/lib/python3.10/email/parser.py)
   34   100%   encodings.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/encodings/__init__.py)
   36   100%   encodings.idna   (/root/.pyenv/versions/3.10.19/lib/python3.10/encodings/idna.py)
